,AnimalType,AgeInDays,Breed,Color
13565,Dog,180,Pit Bull Mix,Black/White
13566,Dog,300,German Shepherd Mix,Black/Brown
13567,Dog,60,Dachshund/Chihuahua Shorthair,Tricolor
13568,Cat,2920,Domestic Shorthair Mix,Blue/Orange
13569,Cat,60,Domestic Medium Hair Mix,Black
13570,Dog,1095,Dachshund Mix,Black/Tricolor
13571,Cat,300,Domestic Shorthair Mix,Blue
13572,Cat,2190,Domestic Shorthair Mix,Brown Tabby/White
13573,Dog,60,Catahoula/Pointer,Brown Merle/White
13574,Dog,2555,Siberian Husky Mix,Brown
13575,Cat,1460,Maine Coon Mix,Torbie
13576,Cat,3285,Domestic Shorthair Mix,Black
13577,Cat,180,Domestic Shorthair Mix,Brown Tabby
13578,Dog,365,Chihuahua Shorthair Mix,Buff
13579,Dog,3285,Beagle Mix,Tricolor
13580,Cat,14,Domestic Shorthair Mix,Brown Tabby
13581,Dog,365,Jack Russell Terrier/Shih Tzu,Gray/White
13582,Dog,1095,Pit Bull Mix,White/Blue
13583,Cat,60,Domestic Shorthair Mix,Black
13584,Cat,365,Domestic Shorthair Mix,Tortie
13585,Cat,21,Domestic Medium Hair Mix,Blue Tabby
13586,Cat,730,Domestic Shorthair Mix,Blue/White
13587,Dog,330,Boxer/American Staffordshire Terrier,Brown/White
13588,Dog,180,Rat Terrier Mix,White/Brown
13589,Dog,300,Jack Russell Terrier/Labrador Retriever,Sable/White
13590,Dog,1460,Beagle Mix,Tan/White
13591,Cat,30,Snowshoe Mix,Seal Point
13592,Dog,300,Pit Bull Mix,White
13593,Dog,60,Australian Shepherd Mix,Tricolor
13594,Cat,90,Domestic Shorthair Mix,Black/White
13595,Dog,730,Catahoula Mix,Brown Merle/Blue Merle
13596,Cat,365,Domestic Shorthair Mix,Blue Tabby
13597,Dog,2920,Boxer/Labrador Retriever,Brown
13598,Dog,730,Lhasa Apso Mix,White/Black
13599,Cat,7,Domestic Medium Hair Mix,White/Blue
13600,Dog,1460,Basenji Mix,Tan/White
13601,Dog,365,Chihuahua Shorthair Mix,Tan
13602,Cat,30,Domestic Shorthair Mix,Black/White
13603,Dog,730,Miniature Poodle Mix,Black
13604,Dog,120,Pit Bull Mix,Brown Brindle/White
13605,Cat,730,Domestic Shorthair Mix,Black
13606,Cat,14,Domestic Shorthair Mix,Black
13607,Dog,30,Australian Cattle Dog Mix,Brown
13608,Dog,365,Australian Kelpie Mix,Black/Tan
13609,Dog,1095,Finnish Spitz/Dachshund,Red
13610,Cat,30,Domestic Shorthair Mix,Black/White
13611,Dog,365,Chihuahua Shorthair Mix,Tan
13612,Dog,1825,Pit Bull Mix,Brown/White
13613,Dog,14,Labrador Retriever Mix,Brown
13614,Cat,730,Domestic Shorthair Mix,Brown Tabby/White
13615,Cat,30,Domestic Shorthair Mix,Brown Tabby/White
13616,Dog,1460,Catahoula Mix,Yellow Brindle/White
13617,Dog,730,Black Mouth Cur Mix,Tan
13618,Cat,30,Domestic Shorthair Mix,Black/White
13619,Cat,365,Domestic Shorthair Mix,White/Brown Tabby
13620,Cat,7,Domestic Shorthair Mix,Blue Tabby
13621,Cat,30,Domestic Shorthair Mix,Brown Tabby
13622,Dog,730,Black Mouth Cur,Tan
13623,Cat,120,Domestic Medium Hair Mix,Brown Tabby
13624,Cat,60,Domestic Shorthair Mix,Brown Tabby
13625,Cat,365,Domestic Shorthair Mix,Calico
13626,Dog,730,Pit Bull Mix,Chocolate/White
13627,Cat,730,Domestic Longhair Mix,Brown Tabby/White
13628,Cat,180,Domestic Shorthair Mix,Black
13629,Cat,3650,Domestic Shorthair Mix,Brown Tabby/White
13630,Dog,365,Basset Hound Mix,Black/Tan
13631,Dog,2555,German Shorthair Pointer Mix,Black/White
13632,Dog,730,Feist Mix,Black
13633,Dog,730,Chihuahua Shorthair,Brown/White
13634,Dog,1825,Pit Bull Mix,Tan/White
13635,Dog,3650,Jack Russell Terrier Mix,White/Black
13636,Dog,1095,Labrador Retriever Mix,Brown/White
13637,Dog,60,Labrador Retriever/American Pit Bull Terrier,Black/White
13638,Cat,150,Domestic Shorthair Mix,Black
13639,Cat,90,Domestic Shorthair Mix,Tortie
13640,Cat,60,Siamese Mix,Flame Point
13641,Cat,90,Domestic Shorthair Mix,Torbie
13642,Dog,1825,English Bulldog Mix,Brown Brindle/White
13643,Cat,210,Domestic Shorthair Mix,Orange Tabby/White
13644,Cat,1095,Snowshoe Mix,Chocolate Point
13645,Cat,60,Domestic Shorthair Mix,Brown Tabby
13646,Cat,1095,Domestic Shorthair Mix,White/Brown Tabby
13647,Dog,1095,Shih Tzu Mix,White/White
13648,Cat,3650,Domestic Shorthair Mix,Torbie
13649,Cat,60,Domestic Shorthair Mix,Black
13650,Dog,4380,Cocker Spaniel,Buff/White
13651,Dog,2920,Labrador Retriever Mix,Buff
13652,Cat,60,Domestic Shorthair Mix,Black
13653,Dog,60,Labrador Retriever,White
13654,Dog,730,Labrador Retriever/Pit Bull,Black/White
13655,Dog,2555,Carolina Dog Mix,Buff
13656,Cat,150,Domestic Shorthair Mix,Calico
13657,Dog,365,Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle
13658,Cat,60,Domestic Shorthair Mix,Blue Tabby/White
13659,Cat,120,Domestic Shorthair Mix,Black
13660,Dog,60,Catahoula Mix,Tan/White
13661,Cat,30,Siamese Mix,Lynx Point
13662,Dog,1460,Chihuahua Shorthair Mix,Red/White
13663,Dog,365,English Pointer Mix,Red/White
13664,Cat,730,Domestic Shorthair Mix,Brown Tabby
13665,Cat,60,Domestic Shorthair Mix,Brown Tabby
13666,Dog,1095,Pit Bull Mix,Blue/White
13667,Dog,150,Chihuahua Shorthair Mix,Tan
13668,Cat,60,Domestic Shorthair Mix,Black/White
13669,Dog,5,Pit Bull Mix,Sable/White
13670,Cat,210,Domestic Shorthair Mix,Orange Tabby
13671,Dog,2555,Great Pyrenees Mix,Brown/Black
13672,Cat,21,Domestic Shorthair Mix,Brown Tabby
13673,Cat,14,Domestic Shorthair Mix,Blue Tabby
13674,Dog,2190,Collie Rough/Pembroke Welsh Corgi,Tan/Buff
13675,Cat,1825,Domestic Medium Hair Mix,Orange Tabby
13676,Dog,365,Pit Bull Mix,White/Tan
13677,Dog,300,Labrador Retriever/Pointer,White/Black
13678,Dog,90,Chihuahua Shorthair/Cocker Spaniel,Tan/White
13679,Cat,3285,Domestic Shorthair Mix,White/Orange Tabby
13680,Dog,365,Chihuahua Shorthair Mix,Red
13681,Cat,14,Domestic Shorthair Mix,Brown Tabby/White
13682,Cat,14,Domestic Shorthair Mix,Black
13683,Cat,60,Domestic Shorthair Mix,Blue/White
13684,Dog,1460,Cairn Terrier Mix,Black
13685,Cat,21,Domestic Shorthair Mix,Orange Tabby
13686,Dog,4745,Chihuahua Shorthair,Tan/White
13687,Dog,1095,Pit Bull Mix,Black/White
13688,Cat,2920,Siamese Mix,Flame Point
13689,Cat,60,Domestic Shorthair Mix,Black
13690,Dog,270,Black Mouth Cur Mix,Tricolor
13691,Cat,60,Domestic Shorthair Mix,Blue
13692,Dog,730,Doberman Pinsch Mix,Black/Tan
13693,Dog,4745,American Eskimo Mix,White/Tan
13694,Dog,1460,Rat Terrier Mix,Black/White
13695,Dog,1095,Chihuahua Shorthair Mix,Cream
13696,Cat,365,Domestic Shorthair Mix,Brown Tabby
13697,Cat,90,Domestic Shorthair Mix,Blue/White
13698,Cat,90,Domestic Shorthair Mix,White/Orange Tabby
13699,Dog,1095,Shih Tzu,Black/White
13700,Dog,730,Catahoula Mix,Black/Brown
13701,Dog,1095,Chihuahua Shorthair Mix,Sable
13702,Cat,60,Domestic Shorthair Mix,Brown Tabby/White
13703,Dog,1095,Miniature Poodle Mix,White/Pink
13704,Dog,120,Pit Bull Mix,Brown Brindle/White
13705,Cat,30,Domestic Shorthair Mix,Calico/Brown
13706,Dog,150,Chihuahua Shorthair Mix,Brown
13707,Cat,30,Domestic Shorthair Mix,Orange Tabby/White
13708,Cat,21,Domestic Shorthair Mix,Orange Tabby
13709,Dog,365,American Bulldog Mix,White/Tan
13710,Dog,365,Dachshund Mix,Black
13711,Cat,6,Domestic Shorthair Mix,Black/White
13712,Cat,730,Domestic Shorthair Mix,Brown Tabby
13713,Cat,60,Domestic Shorthair Mix,Black
13714,Cat,21,Domestic Shorthair Mix,Orange Tabby/White
13715,Dog,365,Great Pyrenees/Pointer,White/Orange
13716,Cat,14,Domestic Shorthair Mix,Orange Tabby
13717,Dog,730,Labrador Retriever Mix,Chocolate/Brown
13718,Dog,180,Australian Cattle Dog Mix,Blue Tick
13719,Dog,7,Labrador Retriever Mix,Cream
13720,Cat,7,Domestic Medium Hair Mix,White
13721,Cat,60,Domestic Shorthair Mix,Blue Tabby
13722,Cat,180,Domestic Longhair Mix,Brown Tabby/White
13723,Cat,30,Domestic Shorthair Mix,Brown Tabby/White
13724,Cat,60,Domestic Shorthair,Tortie
13725,Dog,730,Pit Bull/German Shepherd,Fawn
13726,Dog,730,Labrador Retriever Mix,Black
13727,Cat,1825,Domestic Shorthair Mix,Black/White
13728,Dog,365,Australian Shepherd Mix,White/Tan
13729,Dog,730,Yorkshire Terrier/Cairn Terrier,Black/Brown
13730,Cat,2190,Domestic Shorthair Mix,Blue/White
13731,Cat,60,Domestic Shorthair Mix,Brown Tabby
13732,Cat,180,Domestic Shorthair Mix,Calico
13733,Dog,5,Pit Bull Mix,Sable
13734,Dog,7,Pit Bull Mix,Brown/White
13735,Dog,1095,Chow Chow Mix,Red/Black
13736,Dog,730,Chihuahua Shorthair/Cardigan Welsh Corgi,Sable/Cream
13737,Cat,1095,Domestic Longhair Mix,Cream Tabby/White
13738,Dog,730,Dachshund Mix,Tan/Black
13739,Dog,730,Pit Bull Mix,Black/White
13740,Cat,30,Domestic Shorthair Mix,Brown Tabby/White
13741,Dog,270,American Pit Bull Terrier Mix,Black Brindle/White
13742,Dog,1460,Australian Cattle Dog Mix,Tan/White
13743,Cat,21,Domestic Shorthair Mix,Blue Tabby/White
13744,Dog,120,Chihuahua Shorthair Mix,Tricolor
13745,Dog,60,Chihuahua Shorthair Mix,Black/White
13746,Cat,730,Domestic Shorthair Mix,Blue
13747,Cat,7,Domestic Shorthair Mix,Lynx Point
13748,Cat,730,Domestic Medium Hair Mix,Orange Tabby
13749,Dog,2555,Pointer Mix,White/Brown
13750,Dog,2190,Border Collie,Black/White
13751,Dog,30,Anatol Shepherd Mix,White/Brown
13752,Dog,365,Cairn Terrier Mix,Tan
13753,Cat,60,Domestic Medium Hair Mix,Cream Tabby
13754,Cat,2190,Domestic Shorthair Mix,Blue Tabby
13755,Cat,30,Domestic Shorthair Mix,Blue
13756,Dog,60,Cairn Terrier Mix,Brown
13757,Cat,60,Domestic Shorthair Mix,Brown Tabby/White
13758,Dog,730,Miniature Pinscher/Chihuahua Shorthair,Black/Tan
13759,Cat,300,Domestic Shorthair Mix,Black
13760,Cat,7,Domestic Shorthair Mix,Orange Tabby/White
13761,Dog,1825,Beagle Mix,White/Brown
13762,Cat,1095,Domestic Shorthair Mix,Tortie
13763,Dog,365,Yorkshire Terrier/Chihuahua Shorthair,Black/Tan
13764,Dog,1095,Beagle Mix,Red/White
13765,Dog,730,Shih Tzu Mix,White/Brown
13766,Cat,1460,Domestic Shorthair Mix,Brown Tabby
13767,Dog,730,Dachshund Mix,Black/White
13768,Dog,1095,Australian Shepherd/Parson Russell Terrier,Tricolor
13769,Dog,2920,Toy Poodle,White
13770,Cat,2555,Domestic Shorthair Mix,Black
13771,Dog,730,American Bulldog Mix,White/Red
13772,Cat,180,Domestic Shorthair Mix,Black
13773,Dog,1825,Dachshund Mix,Black
13774,Dog,1460,Pit Bull/Chow Chow,Tan/White
13775,Dog,1825,German Shepherd Mix,Sable
13776,Dog,300,Boston Terrier Mix,Tan/Black
13777,Cat,30,Domestic Shorthair Mix,Black/White
13778,Dog,365,Queensland Heeler,Red/White
13779,Dog,4015,German Shepherd Mix,Black/Tan
13780,Cat,60,Domestic Shorthair Mix,Brown Tabby
13781,Cat,30,Domestic Shorthair Mix,Orange Tabby
13782,Cat,1095,Domestic Shorthair Mix,Brown Tabby/White
13783,Dog,270,German Shepherd Mix,Tan/Brown
13784,Dog,2,Pit Bull Mix,Chocolate/White
13785,Cat,1095,Siamese Mix,Seal Point
13786,Cat,90,Domestic Shorthair Mix,Black
13787,Cat,7,Domestic Shorthair Mix,Black/White
13788,Cat,60,Siamese,Seal Point
13789,Cat,60,Domestic Shorthair Mix,Orange Tabby
13790,Cat,90,Domestic Shorthair Mix,Cream Tabby
13791,Dog,300,Pit Bull Mix,Blue/White
13792,Cat,150,Domestic Shorthair Mix,Orange Tabby
13793,Cat,60,Domestic Shorthair Mix,Brown Tabby
13794,Cat,90,Domestic Shorthair Mix,Blue Tabby
13795,Dog,1825,Chihuahua Shorthair Mix,Red
13796,Dog,1825,Chihuahua Shorthair Mix,Black/White
13797,Dog,1095,Chihuahua Shorthair Mix,Tan
13798,Dog,180,Bull Terrier Mix,White
13799,Dog,270,Chinese Sharpei/Labrador Retriever,Tan
13800,Dog,3650,Border Collie Mix,Black
13801,Dog,1460,American Staffordshire Terrier Mix,Black/White
13802,Cat,90,Domestic Shorthair Mix,Black
13803,Dog,180,Labrador Retriever Mix,Black/White
13804,Cat,365,Domestic Shorthair Mix,Brown Tabby
13805,Dog,6570,Chihuahua Shorthair Mix,Yellow
13806,Dog,2920,Labrador Retriever Mix,Yellow
13807,Cat,150,Domestic Shorthair Mix,White/Orange Tabby
13808,Dog,1095,Chihuahua Shorthair,Brown
13809,Cat,730,Domestic Shorthair Mix,Brown Tabby/White
13810,Dog,365,English Bulldog/Boxer,Brown/White
13811,Dog,2920,Labrador Retriever/Australian Cattle Dog,Red
13812,Dog,1095,Mastiff Mix,Sable
13813,Cat,1095,Snowshoe Mix,Seal Point
13814,Cat,60,Domestic Shorthair Mix,Tortie
13815,Cat,150,Domestic Shorthair Mix,Calico
13816,Dog,210,Labrador Retriever Mix,Black/White
13817,Cat,90,Domestic Shorthair Mix,Black
13818,Dog,730,Australian Kelpie/Pit Bull,Red/White
13819,Cat,14,Domestic Shorthair Mix,Orange Tabby/White
13820,Dog,150,Labrador Retriever Mix,Chocolate/White
13821,Dog,3285,Pit Bull,Blue/White
13822,Dog,1095,Border Collie Mix,Black/White
13823,Cat,240,Domestic Shorthair Mix,Black
13824,Cat,60,Domestic Shorthair Mix,Brown Tabby/White
13825,Dog,1095,Labrador Retriever Mix,White/Brown
13826,Cat,60,Domestic Shorthair Mix,Black/White
13827,Cat,1095,Domestic Shorthair Mix,Orange Tabby
13828,Dog,365,Labrador Retriever/Australian Cattle Dog,Tan/White
13829,Dog,1460,Pit Bull Mix,Blue/White
13830,Cat,180,Russian Blue Mix,Blue
13831,Dog,730,Australian Cattle Dog,Blue Merle
13832,Dog,60,Australian Cattle Dog Mix,Brown/White
13833,Cat,730,Domestic Shorthair Mix,Brown Tabby/Black
13834,Cat,365,Domestic Shorthair Mix,Black/White
13835,Dog,3285,Keeshond Mix,Brown/Black
13836,Dog,2920,Dachshund Wirehair Mix,Sable/White
13837,Cat,90,Domestic Shorthair Mix,Black
13838,Cat,730,Domestic Shorthair Mix,Brown Tabby
13839,Dog,730,Great Pyrenees Mix,White
13840,Cat,120,Domestic Shorthair Mix,Brown Tabby
13841,Cat,730,Domestic Shorthair Mix,Tortie
13842,Dog,365,German Shepherd/Australian Cattle Dog,Black/White
13843,Cat,21,Domestic Shorthair Mix,Orange Tabby
13844,Dog,365,Boxer/Pit Bull,Chocolate/White
13845,Cat,365,Domestic Longhair Mix,Tortie/Orange
13846,Dog,2920,Labrador Retriever Mix,Brown
13847,Cat,365,Domestic Shorthair Mix,White/Brown Tabby
13848,Dog,30,Border Collie Mix,Black/White
13849,Cat,240,Domestic Shorthair Mix,Black/White
13850,Cat,365,Domestic Shorthair Mix,Black/White
13851,Dog,730,American Staffordshire Terrier Mix,Brown Brindle/White
13852,Dog,365,Chihuahua Shorthair/Dachshund,Tricolor
13853,Dog,90,American Pit Bull Terrier Mix,Brown Brindle/White
13854,Dog,270,Redbone Hound Mix,Red/White
13855,Dog,2920,Border Collie/Labrador Retriever,Black/White
13856,Dog,730,Alaskan Malamute Mix,Black/Tan
13857,Cat,14,Domestic Shorthair Mix,Brown Tabby
13858,Dog,365,Cairn Terrier Mix,Tan
13859,Dog,240,Great Dane/Australian Cattle Dog,Black/White
13860,Cat,60,Domestic Shorthair Mix,Black/White
13861,Dog,240,Australian Cattle Dog Mix,Brown Merle/White
13862,Dog,3,Labrador Retriever Mix,Black
13863,Cat,30,Domestic Shorthair Mix,Brown Tabby
13864,Dog,730,Dachshund Wirehair/Chihuahua Longhair,Tan
13865,Cat,120,Domestic Shorthair Mix,Tortie
13866,Dog,365,Dachshund Mix,Sable/Tan
13867,Dog,2190,Siberian Husky Mix,White/Tan
13868,Dog,120,Dachshund Mix,Brown
13869,Dog,1095,Boxer Mix,Brown Brindle/White
13870,Dog,730,Pit Bull Mix,Tricolor
13871,Dog,2920,English Springer Spaniel,White/Liver
13872,Dog,3650,American Staffordshire Terrier Mix,Brown Brindle
13873,Dog,2920,Smooth Fox Terrier Mix,Tricolor
13874,Cat,150,Domestic Medium Hair Mix,Torbie
13875,Cat,7,Domestic Medium Hair Mix,Brown Tabby
13876,Dog,90,Border Collie/Labrador Retriever,Black/White
13877,Dog,90,Dachshund Longhair/Miniature Schnauzer,Silver/White
13878,Cat,14,Domestic Shorthair Mix,Black
13879,Dog,1825,Australian Shepherd/Australian Cattle Dog,Brown/Tan
13880,Dog,180,Pit Bull Mix,Blue/White
13881,Dog,300,Shetland Sheepdog/Dachshund Longhair,Brown/White
13882,Dog,730,Flat Coat Retriever Mix,Black
13883,Dog,365,Pit Bull Mix,Brown/White
13884,Cat,120,Domestic Shorthair Mix,Brown Tabby/White
13885,Dog,300,Chihuahua Shorthair Mix,Chocolate/White
13886,Cat,60,Siamese Mix,Lynx Point/White
13887,Dog,365,Pomeranian,Red
13888,Cat,60,Domestic Shorthair Mix,Black
13889,Dog,2190,Pit Bull Mix,White/Brown
13890,Dog,1825,Pit Bull/Labrador Retriever,Black/White
13891,Cat,90,Domestic Shorthair Mix,Blue Tabby
13892,Cat,730,Domestic Medium Hair Mix,Black
13893,Dog,365,Pug Mix,Brown/White
13894,Dog,2190,Chihuahua Shorthair Mix,Fawn/White
13895,Cat,60,Domestic Shorthair Mix,Black/White
13896,Dog,365,American Staffordshire Terrier Mix,Tricolor
13897,Dog,1095,Labrador Retriever Mix,Brown
13898,Dog,1095,Great Dane/Mastiff,Black/White
13899,Cat,365,Domestic Shorthair Mix,Calico
13900,Dog,365,Pit Bull Mix,Brown Brindle/White
13901,Dog,150,Akita/Siberian Husky,Tan/White
13902,Dog,365,Labrador Retriever Mix,Black
13903,Dog,60,Chihuahua Shorthair Mix,Brown Brindle/White
13904,Dog,1460,Labrador Retriever/Beagle,Tan/White
13905,Dog,28,Blue Lacy/American Bulldog,Brown/White
13906,Cat,3650,Domestic Shorthair Mix,Black/White
13907,Cat,90,Domestic Shorthair Mix,Brown Tabby
13908,Cat,21,Domestic Shorthair Mix,Black/White
13909,Dog,730,Dachshund/Chihuahua Shorthair,White/Black
13910,Cat,3650,Domestic Longhair Mix,Black
13911,Cat,120,Domestic Shorthair Mix,Tortie
13912,Dog,365,Chihuahua Shorthair Mix,Brown/White
13913,Cat,240,Domestic Shorthair Mix,Black Smoke/White
13914,Dog,1095,Cavalier Span Mix,White/Brown
13915,Cat,7300,Domestic Shorthair Mix,Brown Tabby/White
13916,Dog,210,Great Dane Mix,Black/White
13917,Dog,2555,Chihuahua Shorthair Mix,Tan
13918,Dog,2190,Silky Terrier Mix,White
13919,Dog,300,Pit Bull Mix,Black/White
13920,Cat,365,Domestic Shorthair Mix,Black/White
13921,Cat,14,Domestic Shorthair Mix,Orange Tabby
13922,Dog,1095,Miniature Poodle Mix,White
13923,Dog,150,Miniature Schnauzer/Miniature Poodle,White
13924,Cat,7,Domestic Shorthair Mix,Cream Tabby
13925,Cat,365,Domestic Shorthair Mix,Orange Tabby
13926,Dog,365,Labrador Retriever Mix,Black/White
13927,Cat,14,Domestic Shorthair Mix,Black
13928,Dog,1095,Pit Bull Mix,White/Brown
13929,Dog,150,Pit Bull Mix,Tan/White
13930,Cat,60,Manx Mix,Blue/White
13931,Dog,730,Labrador Retriever Mix,Yellow
13932,Dog,300,Labrador Retriever Mix,Black/White
13933,Cat,60,Domestic Shorthair Mix,Black
13934,Cat,1,Domestic Shorthair Mix,Brown Tabby
13935,Cat,2190,Domestic Shorthair,Calico
13936,Dog,365,Australian Shepherd Mix,Brown
13937,Cat,60,Domestic Shorthair Mix,Black
13938,Dog,1460,Australian Shepherd/Boxer,Brown Brindle/White
13939,Cat,60,Domestic Shorthair Mix,Brown Tabby/White
13940,Cat,1460,Domestic Shorthair Mix,Brown Tabby
13941,Cat,14,Domestic Shorthair Mix,Cream Tabby
13942,Cat,4,Domestic Shorthair Mix,Cream Tabby
13943,Dog,60,Dachshund Mix,Black/Tan
13944,Dog,2555,Staffordshire Mix,Blue/White
13945,Dog,730,Labrador Retriever Mix,Chocolate
13946,Dog,1460,Pit Bull Mix,Blue/White
13947,Dog,60,American Bulldog Mix,Brown/White
13948,Dog,365,Pit Bull Mix,Blue/White
13949,Dog,730,Pit Bull Mix,Blue/White
13950,Dog,730,Chihuahua Shorthair Mix,Brown
13951,Dog,365,Shih Tzu Mix,Tan/White
13952,Dog,1825,Dachshund Mix,Brown/Black
13953,Cat,365,Domestic Shorthair Mix,Black
13954,Cat,1095,Domestic Shorthair Mix,Brown Tabby
13955,Cat,240,Domestic Shorthair Mix,White/Orange Tabby
13956,Dog,2920,Pekingese,Buff
13957,Cat,60,Domestic Shorthair Mix,Torbie
13958,Dog,60,Border Collie Mix,Brown Brindle/White
13959,Dog,180,Border Terrier/Soft Coated Wheaten Terrier,Tan/Gray
13960,Dog,730,Maltese Mix,White
13961,Dog,60,Siberian Husky Mix,Sable/White
13962,Cat,60,Domestic Shorthair Mix,Orange Tabby
13963,Dog,1460,Flat Coat Retriever Mix,Black
13964,Cat,150,Domestic Shorthair Mix,Brown Tabby/White
13965,Dog,1095,Boxer Mix,Brown
13966,Dog,1460,Golden Retriever/Chow Chow,Red
13967,Cat,60,Domestic Shorthair Mix,Blue/White
13968,Cat,30,Domestic Shorthair Mix,Black
13969,Dog,1460,Chow Chow Mix,Tan/Tan
13970,Dog,330,Australian Cattle Dog Mix,Brown/White
13971,Cat,60,Domestic Shorthair Mix,Chocolate Point
13972,Dog,1095,American Bulldog/Great Pyrenees,White
13973,Dog,730,Boxer Mix,Brown Brindle/White
13974,Dog,365,Border Terrier Mix,Fawn
13975,Cat,365,Domestic Shorthair Mix,Black
13976,Dog,730,American Bulldog Mix,Brown Brindle/White
13977,Cat,365,Domestic Shorthair Mix,Orange Tabby
13978,Dog,210,Border Collie Mix,Tricolor
13979,Cat,90,Domestic Medium Hair Mix,Calico
13980,Cat,60,Siamese Mix,Lilac Point
13981,Dog,365,Cairn Terrier Mix,Tan
13982,Cat,30,Snowshoe Mix,Blue Point
13983,Dog,730,American Staffordshire Terrier Mix,Black/White
13984,Cat,120,Domestic Shorthair Mix,Black
13985,Dog,730,Chihuahua Shorthair Mix,White/Buff
13986,Cat,60,Domestic Shorthair Mix,Orange Tabby/White
13987,Dog,5110,Labrador Retriever Mix,Black
13988,Dog,60,Boxer Mix,Tan/Black
13989,Dog,150,Chihuahua Shorthair,Black/Tan
13990,Cat,21,Domestic Shorthair Mix,Black
13991,Dog,730,Labrador Retriever Mix,Tricolor
13992,Dog,60,Border Collie,Chocolate/White
13993,Cat,30,Domestic Medium Hair Mix,Brown Tabby
13994,Dog,4380,Golden Retriever,Buff
13995,Dog,5475,Miniature Poodle Mix,Black/Gray
13996,Dog,1460,Catahoula/Bulldog,Brown Brindle/White
13997,Dog,90,Anatol Shepherd Mix,Buff
13998,Dog,2555,St. Bernard Rough Coat/Labrador Retriever,Black/Brown Brindle
13999,Dog,365,Siberian Husky Mix,Black/Silver
14000,Dog,1460,Boxer,Brown Brindle
14001,Dog,1825,Miniature Poodle Mix,White
14002,Dog,365,Staffordshire Mix,Brown
14003,Cat,14,Domestic Shorthair Mix,Black/White
14004,Cat,28,Domestic Shorthair Mix,Brown Tabby/White
14005,Cat,4380,Domestic Shorthair Mix,Black/White
14006,Dog,1825,Boxer Mix,Brown Brindle/White
14007,Dog,270,Australian Kelpie Mix,Black/White
14008,Cat,60,Snowshoe Mix,Seal Point/White
14009,Cat,7,Domestic Shorthair Mix,Tortie
14010,Dog,1460,Chihuahua Shorthair Mix,Brown
14011,Cat,365,Domestic Shorthair Mix,Black
14012,Dog,3650,German Shepherd Mix,Brown/Black
14013,Cat,60,Domestic Shorthair Mix,Brown Tabby
14014,Dog,730,Rat Terrier Mix,White/Brown
14015,Dog,30,German Shepherd Mix,Sable
14016,Dog,240,Chihuahua Shorthair Mix,Tan
14017,Dog,60,Labrador Retriever/Staffordshire,Black/White
14018,Dog,365,Bruss Griffon Mix,Black/Tan
14019,Cat,30,Domestic Shorthair Mix,Brown Tabby
14020,Cat,30,Domestic Shorthair Mix,Black/White
14021,Dog,730,Boxer Mix,White/Brown
14022,Cat,730,Domestic Shorthair Mix,Orange Tabby
14023,Dog,730,Boxer,Brown Brindle/White
14024,Cat,365,Domestic Shorthair Mix,Black/White
14025,Cat,730,Domestic Shorthair Mix,Brown Tabby/White
14026,Dog,60,Doberman Pinsch Mix,Tricolor
14027,Dog,60,Dachshund/Harrier,Black/Tan
14028,Dog,1825,Chihuahua Longhair Mix,Black
14029,Dog,90,German Shepherd,Black/Brown
14030,Dog,365,Chihuahua Shorthair Mix,Black/White
14031,Cat,2555,Domestic Shorthair Mix,Torbie/Calico
14032,Dog,1095,Labrador Retriever Mix,Chocolate
14033,Cat,365,Domestic Shorthair Mix,Brown Tabby
14034,Dog,14,Pit Bull Mix,White/Tricolor
14035,Cat,365,Domestic Medium Hair Mix,Tortie/White
14036,Cat,180,Domestic Shorthair Mix,Torbie
14037,Dog,365,Chow Chow Mix,Black
14038,Dog,3285,Doberman Pinsch,Red/Tan
14039,Dog,365,Australian Cattle Dog Mix,Brown/White
14040,Dog,1460,Pit Bull Mix,Fawn/White
14041,Dog,1460,Pit Bull Mix,White/Chocolate
14042,Dog,180,Australian Cattle Dog/American Foxhound,Brown/White
14043,Dog,1460,Cavalier Span Mix,Black
14044,Dog,730,Border Collie Mix,White/Black
14045,Dog,1460,Labrador Retriever Mix,Black/White
14046,Dog,730,Chihuahua Shorthair Mix,Chocolate/White
14047,Cat,30,Domestic Shorthair Mix,Blue Tabby/White
14048,Dog,2555,Labrador Retriever/Chow Chow,Red/Black
14049,Dog,2555,Irish Wolfhound Mix,White
14050,Cat,90,Siamese Mix,Flame Point
14051,Cat,1095,Domestic Medium Hair Mix,Calico
14052,Dog,1460,Pit Bull Mix,Blue/Black
14053,Cat,1460,Domestic Shorthair,Brown/White
14054,Dog,365,German Shepherd Mix,White
14055,Dog,1095,Pit Bull Mix,Chocolate/White
14056,Cat,365,Domestic Shorthair Mix,Blue
14057,Dog,365,Dachshund Mix,Black/Tan
14058,Cat,60,Domestic Shorthair Mix,Brown Tabby
14059,Dog,150,Jack Russell Terrier/Papillon,White/Tricolor
14060,Dog,330,Labrador Retriever Mix,Black/White
14061,Dog,365,Chihuahua Shorthair Mix,Tan
14062,Dog,2555,Chihuahua Shorthair Mix,Brown
14063,Dog,4015,Labrador Retriever Mix,Black
14064,Cat,21,Domestic Shorthair Mix,Brown Tabby
14065,Dog,4380,Beagle Mix,Tricolor
14066,Dog,365,Boxer/Great Dane,Black/White
